agendor_id,titulo,clickup_id,produto_agendor,fabricante_agendor,distribuidor_esperado,produto_supabase,fabricante_supabase,distribuidor_supabase,valor_agendor,valor_supabase,servico_prioridade,tipo_divergencia
21051582,UNIMED LONDRINA - ARUBA LAN E WLAN,86ajxx6wy,NETWORKING ARUBA,ARUBA,Ingram Micro,NETWORKING ARUBA,ARUBA,Ingram Micro,573302.34,500167.93,False,VALOR
21051582,UNIMED LONDRINA - ARUBA LAN E WLAN,86ajxx6wy,NETWORKING ARUBA,ARUBA,Ingram Micro,NETWORKING ARUBA,ARUBA,Ingram Micro,573302.34,768211.74,False,VALOR
21051582,UNIMED LONDRINA - ARUBA LAN E WLAN,86ajxx6wy,NETWORKING ARUBA,ARUBA,Ingram Micro,NETWORKING ARUBA,ARUBA,Ingram Micro,573302.34,19192.8,False,VALOR
21051582,UNIMED LONDRINA - ARUBA LAN E WLAN,86ajxx6wy,NETWORKING ARUBA,ARUBA,Ingram Micro,NETWORKING ARUBA,ARUBA,Ingram Micro,573302.34,988962.5,False,VALOR
21051582,UNIMED LONDRINA - ARUBA LAN E WLAN,86ajxx6wy,NETWORKING ARUBA,ARUBA,Ingram Micro,NETWORKING ARUBA,ARUBA,Ingram Micro,573302.34,87376.4,False,VALOR
21051582,UNIMED LONDRINA - ARUBA LAN E WLAN,86ajxx6wy,NETWORKING ARUBA,ARUBA,Ingram Micro,NETWORKING ARUBA,ARUBA,Ingram Micro,19192.8,500167.93,False,VALOR
21051582,UNIMED LONDRINA - ARUBA LAN E WLAN,86ajxx6wy,NETWORKING ARUBA,ARUBA,Ingram Micro,NETWORKING ARUBA,ARUBA,Ingram Micro,19192.8,768211.74,False,VALOR
21051582,UNIMED LONDRINA - ARUBA LAN E WLAN,86ajxx6wy,NETWORKING ARUBA,ARUBA,Ingram Micro,NETWORKING ARUBA,ARUBA,Ingram Micro,19192.8,573302.34,False,VALOR
21051582,UNIMED LONDRINA - ARUBA LAN E WLAN,86ajxx6wy,NETWORKING ARUBA,ARUBA,Ingram Micro,NETWORKING ARUBA,ARUBA,Ingram Micro,19192.8,988962.5,False,VALOR
21051582,UNIMED LONDRINA - ARUBA LAN E WLAN,86ajxx6wy,NETWORKING ARUBA,ARUBA,Ingram Micro,NETWORKING ARUBA,ARUBA,Ingram Micro,19192.8,87376.4,False,VALOR
21051582,UNIMED LONDRINA - ARUBA LAN E WLAN,86ajxx6wy,NETWORKING ARUBA,ARUBA,Ingram Micro,NETWORKING ARUBA,ARUBA,Ingram Micro,988962.5,500167.93,False,VALOR
